command
Kumasi harika ancak boyu fotograftakinden daha kisa o sebeple uzun oldugunu dusunerek aliyorsaniz dikkat edin
"Alıp almamak arasında çok arada kalmıştım ama iyi ki almışım gayet güzel, bedenim s ama en büyük bedeni aldım gayet güzel durdu ve kumaşı ince değil."
Önü resimdeki gibi baya açık sandım ama hiç öyle değil dekoltesi tam yerinde beğendim
Çok güzel çok beğenerek aldım ama L XL almama rağmen bedeni küçük geldi. İade etsem mi etmesem mi bilmiyorum kararsız kaldım ama kumaşı çok güzel tam sarıyor bedeninizi.
yumuşacık dokusu çok güzel sadece benim boyum çok uzun biraz kısa kaldı ama yüksek bel kotlarla şahane olur
"XS bedenim S-M aldım tam oturdu kalıbı,kumaşı çok iyi mankendeki gibi durdu bende.M giyen birine çok dar olur👍"
yorumlarda dar olduğundan bahsedilmiş ama asla öyle değil bana gelen bluz .kendi bedeninizi alabilirsiniz çok şık
kalitesi iyi fakat l aldım s gibi küçücük geldi.bedenler dar likralida olsa çok dar
Çok güzel bedeninizi alabilirsiniz dekoltesi gayet normal.
Çokk güzeldi ama malesef çıtir tipler için bana boyu çok kısa geldi malesef iade 👍
Ürün çok güzel fakat yorumlara bakarak L/XL aldım s beden oldugum halde 7yaşındaki kızıma oldu
Çok tatlı bir duruşu var.kalıp dar ama güzel kol detayları.
Çok tatlı bayıldım. 36-38 beden arasıyım 38 tam oldu.
Çok beğendim. Kalıbı biraz dar fakat giyince ince duruyosunuz😂
Çok şık duruyor yalnız biraz kalın kumaşı onun dışında harika
"Çok ilginç, şöyle ki beyazınında siyahınında aynı bedenini aldım. Doğru bedenlerde elime ulaştı fakat beyaz tam olurken siyah aşırı sıkıyor. Nasıl olabiliyor anlamış değilim"
161 boy 58 kilo L beden dar ve kısa göğüs kısmı göründüğü kadar açık değil yüksek bel pantolon dışında giyilemez. Likralı açılıyor o yüzden sımsıkı dar olmadı
cok begendim penyesi guzel bedene gore acilma yapma payi var
Fotoğrafta göründüğü gibi. S beden giyiyorum ve s aldım gayet iyi oldu. Çok hoş bir bluz.
Mükemmel bir ürün. S almama rağmen birazcık kumaşından dolayı dar gibi ama duruşu çok hoş.
Ürünün özellikle askıları çok tatlı:) Kendi bedeninizi alırsanız tam vücudunuza oturacaktır.
Çok güzel nikralı büyük beden almanıza gerek yok kendi bedeninizi alın
resimdeki gibi kumaşı baya esnek ve şık
en büyük bedeni almama rağmen small beden gibi. modelini çok sevdim. geçen sene de almıştım. böyle değildi
Güzel ama ilk gördüğünüz de küçük sanmayın likralı ve kendi bedeninizi alın.
Bedeni m olmama rağmen küçük geldi çok sıkı likra kendisi güzel ancak bana olmadı
S/m bedenseniz L/xl alın asırı dar ama kullanışlı
çok güzel çok beğendim ama kalıbı biraz dar
Kalıp dar ama ürün çok güzel
"Çok şık, tan bedeninizi Alin kalibi hafif dar"
